,name,city,state,twitter_handle
460,Pittsburgh FIT,Pittsburgh,PA,PittsburghFIT1
461,Subway,Scottsdale,AZ,SUBWAY
462,AutoZone,Las Vegas,NV,autozone
463,Aeropostale,Scottsdale,AZ,Aeropostale
464,GNC,Scottsdale,AZ,GNCLiveWell
465,Piercing Pagoda,Las Vegas,NV,PiercingPagoda
466,Radi8 HOT YOGA,Phoenix,AZ,radi8hotyoga
467,Pie Snob,Phoenix,AZ,PieSnobAZ
468,Las Vegas Landlord,Las Vegas,NV,CRE_LasVegas
469,Alicante Apartments,Las Vegas,NV,costablanca
470,Hair Addiction,Las Vegas,NV,HairAddiction__
471,Focused On Eyes,Chandler,AZ,DrCarolineTeske
472,New Horizons Med Spa,Chandler,AZ,PeterBogdanMD
473,Bobs Smoke Shop,Phoenix,AZ,BobsSmoke
474,Perlora Leather,Pittsburgh,PA,f2sbh478t
475,Butterfly Wonderland,Scottsdale,AZ,ButterflyLandAZ
476,Janne Smith,Charlotte,NC,JanneSmitth
477,The Broiler,Las Vegas,NV,TheFlameBroiler
478,DISH,Charlotte,NC,dish
479,Dollar Plus,Mesa,AZ,CramerClub
480,Affordable Tree Service,Las Vegas,NV,treeserviceinc
481,7-Eleven,Las Vegas,NV,7eleven
